hero,opponent,games,wins,losses,win_rate,source
Cici,Hilda,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Cici,Ling,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Cici,Natan,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Cici,Yve,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Kadita,Hayabusa,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Kadita,Hylos,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Kadita,Lunox,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Kadita,Tigreal,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Kadita,Valentina,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Martis,Angela,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Martis,Harith,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Martis,Hylos,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Martis,Ling,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Martis,Zhuxin,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Masha,Aurora,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Masha,Gatotkaca,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Masha,Harith,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Masha,Roger,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Masha,Uranus,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Minsitthar,Moskov,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Minsitthar,Nolan,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Minsitthar,Phoveus,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Minsitthar,Terizla,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Minsitthar,Vexana,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nana,Claude,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nana,Edith,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nana,Fanny,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nana,Jawhead,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nana,Valentina,1,0,1,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Edith,Moskov,27,18,9,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_14
